epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0501,1.22541,2.13066,1.53422,0.33952,0.24686,0.18502,0.08888,2.16765,4.48152,3.34035,0.000368716,0.000368716,0.000368716
2,90.8585,1.42367,1.88965,1.66497,0.31226,0.43929,0.17447,0.08122,1.99654,5.3254,2.24304,0.000728597,0.000728597,0.000728597
3,133.124,1.35869,1.67724,1.60995,0.52225,0.41391,0.41961,0.22123,1.78243,2.21808,2.10569,0.001078,0.001078,0.001078
4,175.629,1.28162,1.52143,1.54605,0.5763,0.55152,0.58901,0.36896,1.31198,1.78282,1.60414,0.00106386,0.00106386,0.00106386
5,218.417,1.22438,1.40361,1.48825,0.68632,0.68524,0.74565,0.472,1.25869,1.31322,1.49324,0.00104815,0.00104815,0.00104815
6,262.303,1.14257,1.24581,1.42406,0.77544,0.73946,0.81841,0.54595,1.15726,1.08123,1.41764,0.00103244,0.00103244,0.00103244
7,305.238,1.10272,1.13707,1.39109,0.6938,0.55057,0.63291,0.40914,1.20971,1.64535,1.48502,0.00101672,0.00101672,0.00101672
8,347.211,1.06002,1.07651,1.36033,0.80095,0.76645,0.83708,0.58033,1.08153,0.97387,1.33832,0.00100101,0.00100101,0.00100101
9,389.816,1.02733,1.02181,1.3319,0.77583,0.73303,0.80859,0.54491,1.15408,1.03318,1.41784,0.000985298,0.000985298,0.000985298
10,438.493,1.00547,0.98172,1.31227,0.82513,0.80055,0.84935,0.60849,1.00366,0.91375,1.28842,0.000969586,0.000969586,0.000969586
11,481.165,0.98386,0.92617,1.29962,0.8529,0.7204,0.82876,0.58784,1.0448,0.95324,1.31083,0.000953873,0.000953873,0.000953873
12,523.085,0.95786,0.87536,1.26884,0.81447,0.78797,0.84542,0.6075,0.97788,0.91619,1.26475,0.00093816,0.00093816,0.00093816
